construct,construct_id,category,citation,item_no,item_text,reverse_scored,status,verified_ok (RA: yes/no),correction_if_wrong,notes
Emotional loneliness (6-item De Jong Gierveld Loneliness Scale),6_item_de_jong_gierveld_loneliness_scale_emotional_loneliness,Loneliness,"De Jong Gierveld, J., & Van Tilburg, T. (2006). A 6-item scale for overall, emotional, and social loneliness. Research on Aging, 28(5), 582–598. https://doi.org/10.1177/0164027506289723",1,I experience a general sense of emptiness,False,needs_verification,,,
Emotional loneliness (6-item De Jong Gierveld Loneliness Scale),6_item_de_jong_gierveld_loneliness_scale_emotional_loneliness,Loneliness,"De Jong Gierveld, J., & Van Tilburg, T. (2006). A 6-item scale for overall, emotional, and social loneliness. Research on Aging, 28(5), 582–598. https://doi.org/10.1177/0164027506289723",2,I miss having people around me,False,needs_verification,,,
Emotional loneliness (6-item De Jong Gierveld Loneliness Scale),6_item_de_jong_gierveld_loneliness_scale_emotional_loneliness,Loneliness,"De Jong Gierveld, J., & Van Tilburg, T. (2006). A 6-item scale for overall, emotional, and social loneliness. Research on Aging, 28(5), 582–598. https://doi.org/10.1177/0164027506289723",3,I often feel rejected,False,needs_verification,,,
Social loneliness (6-item De Jong Gierveld Loneliness Scale),6_item_de_jong_gierveld_loneliness_scale_social_loneliness,Loneliness,"De Jong Gierveld, J., & Van Tilburg, T. (2006). A 6-item scale for overall, emotional, and social loneliness. Research on Aging, 28(5), 582–598. https://doi.org/10.1177/0164027506289723",1,There are plenty of people I can rely on when I have problems,False,needs_verification,,,
Social loneliness (6-item De Jong Gierveld Loneliness Scale),6_item_de_jong_gierveld_loneliness_scale_social_loneliness,Loneliness,"De Jong Gierveld, J., & Van Tilburg, T. (2006). A 6-item scale for overall, emotional, and social loneliness. Research on Aging, 28(5), 582–598. https://doi.org/10.1177/0164027506289723",2,There are many people I can trust completely,False,needs_verification,,,
Social loneliness (6-item De Jong Gierveld Loneliness Scale),6_item_de_jong_gierveld_loneliness_scale_social_loneliness,Loneliness,"De Jong Gierveld, J., & Van Tilburg, T. (2006). A 6-item scale for overall, emotional, and social loneliness. Research on Aging, 28(5), 582–598. https://doi.org/10.1177/0164027506289723",3,There are enough people I feel close to,False,needs_verification,,,
Agency (Adult Hope Scale),adult_hope_scale_agency,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",1,I energetically pursue my goals.,False,needs_verification,,,
Agency (Adult Hope Scale),adult_hope_scale_agency,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",2,My past experiences have prepared me well for my future.,False,needs_verification,,,
Agency (Adult Hope Scale),adult_hope_scale_agency,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",3,I’ve been pretty successful in life.,False,needs_verification,,,
Agency (Adult Hope Scale),adult_hope_scale_agency,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",4,I meet the goals that I set for myself.,False,needs_verification,,,
Pathways (Adult Hope Scale),adult_hope_scale_pathways,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",1,I can think of many ways to get out of a jam.,False,needs_verification,,,
Pathways (Adult Hope Scale),adult_hope_scale_pathways,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",2,There are lots of ways around any problem.,False,needs_verification,,,
Pathways (Adult Hope Scale),adult_hope_scale_pathways,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",3,I can think of many ways to get the things in life that are most important to me.,False,needs_verification,,,
Pathways (Adult Hope Scale),adult_hope_scale_pathways,Hope,"Snyder, C. R., Harris, C., Anderson, J. R., Holleran, S. A., Irving, L. M., Sigmon, S. T., Yoshinobu, L., Gibb, J., Langelle, C., & Harney, P. (1991). The will and the ways: Development and validation of an individual-differences measure of hope. Journal of Personality and Social Psychology, 60(4), 570–585. https://doi.org/10.1037/0022-3514.60.4.570",4,"Even when others get discouraged, I know I can find a way to solve the problem.",False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",1,I respect my body.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",2,I feel good about my body.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",3,I feel that my body has at least some good qualities.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",4,I take a positive attitude towards my body.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",5,I am attentive to my body's needs.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",6,I feel love for my body.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",7,I appreciate the different and unique characteristics of my body.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",8,"My behavior reveals my positive attitude toward my body; for example, I hold my head high and smile.",False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",9,I am comfortable in my body.,False,needs_verification,,,
Body Appreciation Scale-2 (BAS-2),bas_2,Body appreciation / body image,"Tylka, T. L., & Wood-Barcalow, N. L. (2015). The Body Appreciation Scale-2: Item refinement and psychometric evaluation. Body Image, 12, 53–67. https://doi.org/10.1016/j.bodyim.2014.09.006",10,"I feel like I am beautiful even if I am different from media images of attractive people (e.g., models, actresses/actors).",False,needs_verification,,,
Acceptance (Brief COPE),brief_cope_acceptance,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been accepting the reality of the fact that it has happened.,False,needs_verification,,,
Acceptance (Brief COPE),brief_cope_acceptance,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been learning to live with it.,False,needs_verification,,,
Active coping (Brief COPE),brief_cope_active_coping,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been concentrating my efforts on doing something about the situation I'm in.,False,needs_verification,,,
Active coping (Brief COPE),brief_cope_active_coping,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been taking action to try to make the situation better.,False,needs_verification,,,
Behavioral disengagement (Brief COPE),brief_cope_behavioral_disengagement,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been giving up trying to deal with it.,False,needs_verification,,,
Behavioral disengagement (Brief COPE),brief_cope_behavioral_disengagement,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been giving up the attempt to cope.,False,needs_verification,,,
Denial (Brief COPE),brief_cope_denial,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,"I've been saying to myself ""this isn't real.""",False,needs_verification,,,
Denial (Brief COPE),brief_cope_denial,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been refusing to believe that it has happened.,False,needs_verification,,,
Humor (Brief COPE),brief_cope_humor,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been making jokes about it.,False,needs_verification,,,
Humor (Brief COPE),brief_cope_humor,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been making fun of the situation.,False,needs_verification,,,
Planning (Brief COPE),brief_cope_planning,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been trying to come up with a strategy about what to do.,False,needs_verification,,,
Planning (Brief COPE),brief_cope_planning,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been thinking hard about what steps to take.,False,needs_verification,,,
Positive reframing (Brief COPE),brief_cope_positive_reframing,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,"I've been trying to see it in a different light, to make it seem more positive.",False,needs_verification,,,
Positive reframing (Brief COPE),brief_cope_positive_reframing,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been looking for something good in what is happening.,False,needs_verification,,,
Religion (Brief COPE),brief_cope_religion,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been trying to find comfort in my religion or spiritual beliefs.,False,needs_verification,,,
Religion (Brief COPE),brief_cope_religion,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I've been praying or meditating.,False,needs_verification,,,
Self-blame (Brief COPE),brief_cope_self_blame,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I’ve been criticizing myself.,False,needs_verification,,,
Self-blame (Brief COPE),brief_cope_self_blame,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,I’ve been blaming myself for things that happened.,False,needs_verification,,,
Self-distraction (Brief COPE),brief_cope_self_distraction,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",1,I've been turning to work or other activities to take my mind off things.,False,needs_verification,,,
Self-distraction (Brief COPE),brief_cope_self_distraction,Coping,"Carver, C. S. (1997). You want to measure coping but your protocol’s too long: Consider the Brief COPE. International Journal of Behavioral Medicine, 4(1), 92–100. https://doi.org/10.1207/s15327558ijbm0401_6",2,"I've been doing something to think about it less, such as going to movies, watching TV, reading, daydreaming, sleeping, or shopping.",False,needs_verification,,,
